cell_id,label
100820081692_1,0
100820081692_2,0
100820081692_3,1
100820081692_4,0
100820081692_5,0
100820081692_6,0
100820081692_7,0
100820081692_8,0
100820081692_9,0
100820081692_10,0
100820081692_11,1
100820081692_12,0
100820081692_13,0
100820081692_14,0
100820081692_15,0
100820081692_16,0
100820081692_17,0
100820081692_18,0
100820081692_19,1
100820081692_20,1
100820081692_21,0
100820081692_22,0
100820081692_23,0
100820081692_24,0
100820081692_25,0
100820081692_26,1
100820081692_27,1
100820081692_28,1
100820081692_29,1
100820081692_30,0
100820081692_31,0
100820081692_32,0
100820081692_33,0
100820081692_34,1
100820081692_35,1
100820081692_36,1
100820081692_37,1
100820081692_38,0
100820081692_39,0
100820081692_40,0
100820081692_41,0
100820081692_42,1
100820081692_43,1
100820081692_44,1
100820081692_45,1
100820081692_46,0
100820081692_47,0
100820081692_48,0
100820081692_49,0
100820081692_50,0
100820081692_51,0
100820081692_52,1
100820081692_53,1
100820081692_54,0
100820081692_55,0
100820081692_56,0
100820081692_57,0
100820081692_58,0
100820081692_59,0
100820081692_60,1
100820081692_61,0
100820081692_62,0
100820081692_63,0
100820081692_64,0
100820081693_1,0
100820081693_2,0
100820081693_3,0
100820081693_4,0
100820081693_5,0
100820081693_6,0
100820081693_7,0
100820081693_8,0
100820081693_9,0
100820081693_10,0
100820081693_11,0
100820081693_12,0
100820081693_13,0
100820081693_14,0
100820081693_15,0
100820081693_16,0
100820081693_17,0
100820081693_18,1
100820081693_19,0
100820081693_20,1
100820081693_21,1
100820081693_22,1
100820081693_23,0
100820081693_24,0
100820081693_25,0
100820081693_26,1
100820081693_27,1
100820081693_28,1
100820081693_29,1
100820081693_30,1
100820081693_31,0
100820081693_32,0
100820081693_33,0
100820081693_34,1
100820081693_35,1
100820081693_36,1
100820081693_37,1
100820081693_38,1
100820081693_39,0
100820081693_40,0
100820081693_41,0
100820081693_42,1
100820081693_43,1
100820081693_44,1
100820081693_45,1
100820081693_46,1
100820081693_47,0
100820081693_48,0
100820081693_49,0
100820081693_50,0
100820081693_51,0
100820081693_52,0
100820081693_53,1
100820081693_54,1
100820081693_55,0
100820081693_56,0
100820081693_57,0
100820081693_58,0
100820081693_59,0
100820081693_60,0
100820081693_61,0
100820081693_62,0
100820081693_63,0
100820081693_64,0
100820081694_1,0
100820081694_2,0
100820081694_3,0
100820081694_4,0
100820081694_5,0
100820081694_6,0
100820081694_7,0
100820081694_8,0
100820081694_9,0
100820081694_10,0
100820081694_11,0
100820081694_12,0
100820081694_13,0
100820081694_14,0
100820081694_15,0
100820081694_16,0
100820081694_17,0
100820081694_18,0
100820081694_19,0
100820081694_20,0
100820081694_21,0
100820081694_22,0
100820081694_23,0
100820081694_24,0
100820081694_25,0
100820081694_26,0
100820081694_27,1
100820081694_28,1
100820081694_29,0
100820081694_30,0
100820081694_31,0
100820081694_32,0
100820081694_33,0
100820081694_34,0
100820081694_35,0
100820081694_36,1
100820081694_37,1
100820081694_38,0
100820081694_39,0
100820081694_40,0
100820081694_41,0
100820081694_42,0
100820081694_43,0
100820081694_44,0
100820081694_45,1
100820081694_46,0
100820081694_47,0
100820081694_48,0
100820081694_49,0
100820081694_50,0
100820081694_51,0
100820081694_52,0
100820081694_53,0
100820081694_54,0
100820081694_55,0
100820081694_56,0
100820081694_57,0
100820081694_58,0
100820081694_59,0
100820081694_60,0
100820081694_61,0
100820081694_62,0
100820081694_63,0
100820081694_64,0
100820081695_1,0
100820081695_2,0
100820081695_3,0
100820081695_4,0
100820081695_5,0
100820081695_6,0
100820081695_7,0
100820081695_8,0
100820081695_9,0
100820081695_10,0
100820081695_11,0
100820081695_12,0
100820081695_13,0
100820081695_14,0
100820081695_15,0
100820081695_16,0
100820081695_17,0
100820081695_18,0
100820081695_19,1
100820081695_20,0
100820081695_21,1
100820081695_22,0
100820081695_23,0
100820081695_24,0
100820081695_25,0
100820081695_26,0
100820081695_27,1
100820081695_28,1
100820081695_29,1
100820081695_30,0
100820081695_31,0
100820081695_32,0
100820081695_33,0
100820081695_34,0
100820081695_35,1
100820081695_36,1
100820081695_37,1
100820081695_38,1
100820081695_39,0
100820081695_40,0
100820081695_41,0
100820081695_42,1
100820081695_43,1
100820081695_44,1
100820081695_45,0
100820081695_46,1
100820081695_47,0
100820081695_48,0
100820081695_49,0
100820081695_50,1
100820081695_51,1
100820081695_52,0
100820081695_53,0
100820081695_54,0
100820081695_55,0
100820081695_56,0
100820081695_57,0
100820081695_58,0
100820081695_59,1
100820081695_60,0
100820081695_61,0
100820081695_62,0
100820081695_63,0
100820081695_64,0
141120142185_1,0
141120142185_2,0
141120142185_3,1
141120142185_4,1
141120142185_5,1
141120142185_6,0
141120142185_7,0
141120142185_8,0
141120142185_9,0
141120142185_10,0
141120142185_11,1
141120142185_12,1
141120142185_13,1
141120142185_14,0
141120142185_15,0
141120142185_16,0
141120142185_17,0
141120142185_18,0
141120142185_19,1
141120142185_20,1
141120142185_21,1
141120142185_22,0
141120142185_23,0
141120142185_24,0
141120142185_25,0
141120142185_26,0
141120142185_27,1
141120142185_28,1
141120142185_29,1
141120142185_30,1
141120142185_31,1
141120142185_32,0
141120142185_33,0
141120142185_34,0
141120142185_35,1
141120142185_36,1
141120142185_37,1
141120142185_38,1
141120142185_39,1
141120142185_40,1
141120142185_41,0
141120142185_42,0
141120142185_43,1
141120142185_44,1
141120142185_45,1
141120142185_46,1
141120142185_47,1
141120142185_48,1
141120142185_49,1
141120142185_50,1
141120142185_51,1
141120142185_52,1
141120142185_53,0
141120142185_54,0
141120142185_55,0
141120142185_56,0
141120142185_57,0
141120142185_58,0
141120142185_59,0
141120142185_60,0
141120142185_61,0
141120142185_62,0
141120142185_63,0
141120142185_64,0
26102010062_1,0
26102010062_2,0
26102010062_3,0
26102010062_4,0
26102010062_5,0
26102010062_6,0
26102010062_7,0
26102010062_8,0
26102010062_9,0
26102010062_10,0
26102010062_11,0
26102010062_12,0
26102010062_13,0
26102010062_14,0
26102010062_15,0
26102010062_16,0
26102010062_17,0
26102010062_18,0
26102010062_19,0
26102010062_20,1
26102010062_21,0
26102010062_22,0
26102010062_23,0
26102010062_24,0
26102010062_25,0
26102010062_26,0
26102010062_27,0
26102010062_28,1
26102010062_29,1
26102010062_30,0
26102010062_31,0
26102010062_32,0
26102010062_33,0
26102010062_34,0
26102010062_35,0
26102010062_36,1
26102010062_37,1
26102010062_38,1
26102010062_39,0
26102010062_40,0
26102010062_41,0
26102010062_42,0
26102010062_43,0
26102010062_44,0
26102010062_45,1
26102010062_46,0
26102010062_47,0
26102010062_48,0
26102010062_49,0
26102010062_50,0
26102010062_51,0
26102010062_52,0
26102010062_53,0
26102010062_54,0
26102010062_55,0
26102010062_56,0
26102010062_57,0
26102010062_58,0
26102010062_59,0
26102010062_60,0
26102010062_61,0
26102010062_62,0
26102010062_63,0
26102010062_64,0
29032008693_1,0
29032008693_2,0
29032008693_3,0
29032008693_4,0
29032008693_5,0
29032008693_6,0
29032008693_7,0
29032008693_8,0
29032008693_9,0
29032008693_10,0
29032008693_11,0
29032008693_12,0
29032008693_13,0
29032008693_14,0
29032008693_15,0
29032008693_16,0
29032008693_17,0
29032008693_18,0
29032008693_19,0
29032008693_20,0
29032008693_21,1
29032008693_22,1
29032008693_23,0
29032008693_24,0
29032008693_25,0
29032008693_26,0
29032008693_27,0
29032008693_28,1
29032008693_29,1
29032008693_30,0
29032008693_31,0
29032008693_32,0
29032008693_33,0
29032008693_34,0
29032008693_35,1
29032008693_36,1
29032008693_37,0
29032008693_38,0
29032008693_39,0
29032008693_40,0
29032008693_41,0
29032008693_42,1
29032008693_43,1
29032008693_44,0
29032008693_45,0
29032008693_46,0
29032008693_47,0
29032008693_48,0
29032008693_49,0
29032008693_50,0
29032008693_51,0
29032008693_52,0
29032008693_53,0
29032008693_54,0
29032008693_55,0
29032008693_56,0
29032008693_57,0
29032008693_58,0
29032008693_59,0
29032008693_60,0
29032008693_61,0
29032008693_62,0
29032008693_63,0
29032008693_64,0
29032008695_1,0
29032008695_2,0
29032008695_3,0
29032008695_4,0
29032008695_5,0
29032008695_6,0
29032008695_7,0
29032008695_8,0
29032008695_9,0
29032008695_10,0
29032008695_11,0
29032008695_12,1
29032008695_13,1
29032008695_14,0
29032008695_15,0
29032008695_16,0
29032008695_17,0
29032008695_18,0
